Frequency (Hz),Magnitude (dB),Phase (Degrees)
1581.24803927037,13.1789154875761,-18.7827958498126
1584.8931924611,13.1799678255328,-18.8300775024622
1588.54674859776,13.1810240142419,-18.8774958585833
1592.20872705115,13.1820840613589,-18.925051425073
1595.87914723672,13.1831479744706,-18.9727447112974
1599.55802861465,13.1842157610927,-19.0205762291058
1603.24539069002,13.1852874286692,-19.0685464928449
1606.94125301286,13.1863629845706,-19.1166560193727
1610.64563517825,13.187442436092,-19.1649053280729
1614.35855682647,13.1885257904524,-19.2132949408688
1618.08003764305,13.1896130547926,-19.2618253822379
1621.81009735891,13.1907042361738,-19.3104971792261
1625.54875575047,13.1917993415761,-19.3593108614624
1629.2960326397,13.1928983778969,-19.4082669611732
1633.05194789432,13.1940013519491,-19.4573660131969
1636.81652142779,13.1951082704598,-19.5066085549989
1640.58977319952,13.1962191400684,-19.5559951266861
1644.37172321491,13.197333967325,-19.6055262710217
1648.16239152549,13.1984527586888,-19.6552025334402
1651.961798229,13.1995755205263,-19.7050244620625
1655.76996346951,13.2007022591094,-19.7549926077107
1659.58690743754,13.201832980614,-19.8051075239235
1663.41265037015,13.2029676911181,-19.8553697669712
1667.24721255104,13.2041063965997,-19.905779895871
1671.09061431069,13.2052491029353,-19.9563384724026
1674.94287602642,13.2063958158982,-20.0070460611233
1678.80401812254,13.2075465411559,-20.0579032293836
1682.67406107045,13.2087012842692,-20.1089105473431
1686.55302538872,13.2098600506895,-20.1600685879854
1690.44093164324,13.2110228457571,-20.211377927135
1694.33780044731,13.2121896746994,-20.2628391434718
1698.24365246172,13.2133605426286,-20.3144528185478
1702.15850839493,13.2145354545401,-20.366219536803
1706.0823890031,13.2157144153099,-20.4181398855812
1710.01531509027,13.2168974296931,-20.470214455146
1713.9573075084,13.2180845023212,-20.5224438386973
1717.90838715757,13.2192756377007,-20.5748286323874
1721.86857498598,13.2204708402103,-20.6273694353373
1725.83789199018,13.221670114099,-20.6800668496531
1729.81635921508,13.2228734634839,-20.7329214804425
1733.80399775412,13.2240808923481,-20.7859339358313
1737.80082874935,13.225292404538,-20.83910482698
1741.80687339159,13.2265080037614,-20.8924347681007
1745.82215292048,13.2277276935853,-20.9459243764734
1749.84668862463,13.228951477433,-20.9995742724635
1753.88050184174,13.2301793585823,-21.0533850795381
1757.92361395867,13.2314113401626,-21.1073574242831
1761.97604641161,13.232647425153,-21.1614919364207
1766.03782068614,13.2338876163794,-21.2157892488258
1770.1089583174,13.2351319165121,-21.2702499975439
1774.18948089014,13.2363803280634,-21.3248748218078
1778.2794100389,13.237632853385,-21.3796643640553
1782.37876744807,13.2388894946653,-21.4346192699465
1786.48757485203,13.2401502539269,-21.4897401883813
1790.60585403527,13.241415133024,-21.5450277715166
1794.7336268325,13.2426841336394,-21.6004826747845
1798.87091512876,13.2439572572821,-21.6561055569097
1803.01774085954,13.2452345052844,-21.7118970799269
1807.1741260109,13.2465158787994,-21.7678579091995
1811.34009261958,13.2478013787975,-21.8239887134365
1815.51566277311,13.2490910060644,-21.8802901647112
1819.70085860996,13.2503847611974,-21.9367629384786
1823.89570231961,13.2516826446032,-21.9934077135941
1828.10021614272,13.2529846564943,-22.0502251723312
1832.31442237119,13.2542907968865,-22.1072160003999
1836.53834334832,13.2556010655956,-22.164380886965
1840.77200146893,13.2569154622343,-22.2217205246642
1845.01541917945,13.2582339862092,-22.279235609627
1849.26861897805,13.2595566367177,-22.3369268414926
1853.53162341478,13.2608834127448,-22.3947949234289
1857.80445509167,13.2622143130595,-22.4528405621506
1862.08713666284,13.2635493362123,-22.5110644679383
1866.37969083464,13.264888480531,-22.5694673546571
1870.68214036577,13.2662317441181,-22.6280499397752
1874.99450806739,13.267579124847,-22.6868129443828
1879.31681680324,13.2689306203587,-22.7457570932112
1883.64908948977,13.2702862280583,-22.8048831146513
1887.99134909627,13.2716459451116,-22.8641917407729
1892.34361864495,13.2730097684414,-22.9236837073439
1896.70592121112,13.274377694724,-22.9833597538488
1901.07827992327,13.2757497203854,-23.0432206235085
1905.46071796322,13.277125841598,-23.1032670632994
1909.85325856621,13.2785060542763,-23.1634998239719
1914.25592502106,13.2798903540739,-23.223919660071
1918.66874067026,13.2812787363787,-23.2845273299545
1923.09172891013,13.2826711963101,-23.3453235958128
1927.52491319091,13.2840677287143,-23.4063092236885
1931.96831701689,13.2854683281606,-23.467484983496
1936.42196394658,13.2868729889375,-23.5288516490404
1940.88587759275,13.2882817050487,-23.5904099980375
1945.36008162263,13.2896944702085,-23.6521608121337
1949.84459975801,13.2911112778386,-23.7141048769249
1954.33945577536,13.2925321210627,-23.776242981977
1958.84467350596,13.2939569927035,-23.8385759208448
